,State,Day,YOYPctChange
0,Arizona,2/18/20,0.0
1,Arizona,2/19/20,1.0
2,Arizona,2/20/20,8.0
3,Arizona,2/21/20,4.0
4,Arizona,2/22/20,-3.0
5,Arizona,2/23/20,5.0
6,Arizona,2/24/20,2.0
7,Arizona,2/25/20,5.0
8,Arizona,2/26/20,1.0
9,Arizona,2/27/20,3.0
10,Arizona,2/28/20,2.0
11,Arizona,2/29/20,1.0
12,Arizona,3/1/20,-2.0
13,Arizona,3/2/20,-7.0
14,Arizona,3/3/20,-10.0
15,Arizona,3/4/20,0.0
16,Arizona,3/5/20,-4.0
17,Arizona,3/6/20,-3.0
18,Arizona,3/7/20,-2.0
19,Arizona,3/8/20,-3.0
20,Arizona,3/9/20,-7.0
21,Arizona,3/10/20,-14.0
22,Arizona,3/11/20,-20.0
23,Arizona,3/12/20,-18.0
24,Arizona,3/13/20,-26.0
25,Arizona,3/14/20,-24.0
26,Arizona,3/15/20,-37.0
27,Arizona,3/16/20,-54.0
28,Arizona,3/17/20,-77.0
29,Arizona,3/18/20,-93.0
30,Arizona,3/19/20,-95.55
31,Arizona,3/20/20,-97.96
32,Arizona,3/21/20,-99.95
33,Arizona,3/22/20,-99.96
34,Arizona,3/23/20,-100.0
35,Arizona,3/24/20,-99.94
36,Arizona,3/25/20,-100.0
37,Arizona,3/26/20,-99.9
38,Arizona,3/27/20,-99.96
39,Arizona,3/28/20,-100.0
40,Arizona,3/29/20,-100.0
41,Arizona,3/30/20,-99.96
42,Arizona,3/31/20,-100.0
43,Arizona,4/1/20,-100.0
44,Arizona,4/2/20,-99.99
45,Arizona,4/3/20,-100.0
46,Arizona,4/4/20,-99.95
47,Arizona,4/5/20,-100.0
48,Arizona,4/6/20,-100.0
49,Arizona,4/7/20,-100.0
50,Arizona,4/8/20,-100.0
51,Arizona,4/9/20,-100.0
52,Arizona,4/10/20,-100.0
53,Arizona,4/11/20,-100.0
54,Arizona,4/12/20,-100.0
55,Arizona,4/13/20,-100.0
56,Arizona,4/14/20,-100.0
57,Arizona,4/15/20,-100.0
58,Arizona,4/16/20,-100.0
59,Arizona,4/17/20,-100.0
60,Arizona,4/18/20,-99.98
61,Arizona,4/19/20,-100.0
62,Arizona,4/20/20,-100.0
63,Arizona,4/21/20,-100.0
64,Arizona,4/22/20,-99.78
65,Arizona,4/23/20,-100.0
66,Arizona,4/24/20,-100.0
67,Arizona,4/25/20,-100.0
68,Arizona,4/26/20,-100.0
69,Arizona,4/27/20,-100.0
70,Arizona,4/28/20,-99.99
71,Arizona,4/29/20,-100.0
72,Arizona,4/30/20,-100.0
73,Arizona,5/1/20,-100.0
74,Arizona,5/2/20,-100.0
75,Arizona,5/3/20,-100.0
76,Arizona,5/4/20,-100.0
77,Arizona,5/5/20,-100.0
78,Arizona,5/6/20,-100.0
79,Arizona,5/7/20,-100.0
80,Arizona,5/8/20,-100.0
81,Arizona,5/9/20,-100.0
82,Arizona,5/10/20,-100.0
83,Arizona,5/11/20,-76.75
84,Arizona,5/12/20,-79.94
85,Arizona,5/13/20,-78.98
86,Arizona,5/14/20,-76.78
87,Arizona,5/15/20,-73.65
88,Arizona,5/16/20,-72.46
89,Arizona,5/17/20,-72.66
90,Arizona,5/18/20,-74.35
91,Arizona,5/19/20,-71.06
92,Arizona,5/20/20,-71.09
93,Arizona,5/21/20,-65.36
94,Arizona,5/22/20,-61.67
95,Arizona,5/23/20,-59.9
96,Arizona,5/24/20,-62.61
97,Arizona,5/25/20,-60.81
98,Arizona,5/26/20,-55.73
99,Arizona,5/27/20,-54.41
100,Arizona,5/28/20,-52.28
101,Arizona,5/29/20,-48.03
102,Arizona,5/30/20,-48.28
103,Arizona,5/31/20,-61.97
104,Arizona,6/1/20,-59.79
105,Arizona,6/2/20,-55.8
106,Arizona,6/3/20,-54.65
107,Arizona,6/4/20,-50.97
108,Arizona,6/5/20,-49.61
109,Arizona,6/6/20,-47.03
110,Arizona,6/7/20,-46.79
111,Arizona,6/8/20,-37.36
112,Arizona,6/9/20,-48.09
113,Arizona,6/10/20,-48.15
114,Arizona,6/11/20,-41.72
115,Arizona,6/12/20,-41.04
116,Arizona,6/13/20,-45.5
117,Arizona,6/14/20,-69.29
118,Arizona,6/15/20,-47.39
119,Arizona,6/16/20,-54.89
120,Arizona,6/17/20,-54.23
121,Arizona,6/18/20,-50.79
122,Arizona,6/19/20,-48.6
123,Arizona,6/20/20,-48.45
124,Arizona,6/21/20,-24.21
125,Arizona,6/22/20,-53.18
126,Arizona,6/23/20,-58.4
127,Arizona,6/24/20,-60.21
128,Arizona,6/25/20,-54.55
129,Arizona,6/26/20,-55.59
130,Arizona,6/27/20,-54.26
131,Arizona,6/28/20,-58.21
132,Arizona,6/29/20,-58.02
133,Arizona,6/30/20,-59.05
134,Arizona,7/1/20,-68.11
135,Arizona,7/2/20,-64.43
136,Arizona,7/3/20,-57.14
137,Arizona,7/4/20,-70.47
138,Arizona,7/5/20,-61.68
139,Arizona,7/6/20,-65.54
140,Arizona,7/7/20,-65.87
141,Arizona,7/8/20,-67.18
142,Arizona,7/9/20,-63.74
143,Arizona,7/10/20,-62.71
144,Arizona,7/11/20,-64.35
145,Arizona,7/12/20,-64.15
146,Arizona,7/13/20,-74.04
147,Arizona,7/14/20,-71.19
148,Arizona,7/15/20,-68.37
149,Arizona,7/16/20,-65.47
150,Arizona,7/17/20,-60.06
151,Arizona,7/18/20,-60.75
152,Arizona,7/19/20,-63.9
153,Arizona,7/20/20,-67.86
154,Arizona,7/21/20,-64.29
155,Arizona,7/22/20,-63.28
156,Arizona,7/23/20,-63.65
157,Arizona,7/24/20,-56.49
158,Arizona,7/25/20,-56.17
159,Arizona,7/26/20,-58.74
160,Arizona,7/27/20,-60.43
161,Arizona,7/28/20,-58.46
162,Arizona,7/29/20,-59.76
163,Arizona,7/30/20,-56.36
164,Arizona,7/31/20,-52.94
165,Arizona,8/1/20,-53.31
166,Arizona,8/2/20,-55.95
167,Arizona,8/3/20,-58.63
168,Arizona,8/4/20,-60.88
169,Arizona,8/5/20,-59.78
170,Arizona,8/6/20,-54.02
171,Arizona,8/7/20,-51.66
172,Arizona,8/8/20,-48.35
173,Arizona,8/9/20,-52.76
174,Arizona,8/10/20,-55.08
175,Arizona,8/11/20,-57.42
176,Arizona,8/12/20,-54.6
177,Arizona,8/13/20,-50.1
178,Arizona,8/14/20,-46.68
179,Arizona,8/15/20,-45.25
180,Arizona,8/16/20,-49.45
181,Arizona,8/17/20,-51.66
182,Arizona,8/18/20,-55.06
183,Arizona,8/19/20,-51.67
184,Arizona,8/20/20,-52.23
185,Arizona,8/21/20,-41.34
186,Arizona,8/22/20,-39.26
187,Arizona,8/23/20,-45.46
188,Arizona,8/24/20,-52.07
189,Arizona,8/25/20,-51.25
190,Arizona,8/26/20,-46.19
191,Arizona,8/27/20,-38.31
192,Arizona,8/28/20,-35.22
193,Arizona,8/29/20,-39.58
194,Arizona,8/30/20,-56.22
195,Arizona,8/31/20,-66.09
196,Arizona,9/1/20,-26.78
197,Arizona,9/2/20,-32.66
198,Arizona,9/3/20,-28.5
199,Arizona,9/4/20,-28.82
200,Arizona,9/5/20,-27.73
201,Arizona,9/6/20,4.23
202,Arizona,9/7/20,-1.21
203,Arizona,9/8/20,-57.5
204,Arizona,9/9/20,-44.5
205,Arizona,9/10/20,-44.1
206,Arizona,9/11/20,-33.41
207,Arizona,9/12/20,-27.58
208,Arizona,9/13/20,-34.96
209,Arizona,9/14/20,-41.43
210,Arizona,9/15/20,-45.33
211,Arizona,9/16/20,-42.59
212,Arizona,9/17/20,-36.81
213,Arizona,9/18/20,-29.86
214,Arizona,9/19/20,-26.54
215,Arizona,9/20/20,-28.97
216,Arizona,9/21/20,-35.36
217,Arizona,9/22/20,-43.86
218,Arizona,9/23/20,-38.0
219,Arizona,9/24/20,-31.24
220,Arizona,9/25/20,-25.68
221,Arizona,9/26/20,-26.9
222,Arizona,9/27/20,-26.12
223,Arizona,9/28/20,-30.38
224,Arizona,9/29/20,-46.47
225,Arizona,9/30/20,-33.76
226,Arizona,10/1/20,-27.56
227,Arizona,10/2/20,-22.65
228,Arizona,10/3/20,-17.35
229,Arizona,10/4/20,-21.07
230,Arizona,10/5/20,-27.1
231,Arizona,10/6/20,-30.52
232,Arizona,10/7/20,-34.82
233,Arizona,10/8/20,-30.33
234,Arizona,10/9/20,-24.32
235,Arizona,10/10/20,-15.21
236,Arizona,10/11/20,-25.86
237,Arizona,10/12/20,-32.13
238,Arizona,10/13/20,-38.25
239,Arizona,10/14/20,-33.79
240,Arizona,10/15/20,-28.31
241,Arizona,10/16/20,-19.05
242,Arizona,10/17/20,-11.3
243,Arizona,10/18/20,-22.3
244,Arizona,10/19/20,-36.92
245,Arizona,10/20/20,-36.03
246,Arizona,10/21/20,-31.62
247,Arizona,10/22/20,-29.66
248,Arizona,10/23/20,-11.14
249,Arizona,10/24/20,-4.64
250,Arizona,10/25/20,-22.57
251,Arizona,10/26/20,-36.41
252,Arizona,10/27/20,-33.29
253,Arizona,10/28/20,-25.09
254,Arizona,10/29/20,3.67
255,Arizona,10/30/20,-23.81
256,Arizona,10/31/20,-45.03
257,Arizona,11/1/20,-31.7
258,Arizona,11/2/20,-42.2
259,Arizona,11/3/20,-54.0
260,Arizona,11/4/20,-43.04
261,Arizona,11/5/20,-36.16
262,Arizona,11/6/20,-28.34
263,Arizona,11/7/20,-20.97
264,Arizona,11/8/20,-36.9
265,Arizona,11/9/20,-51.52
266,Arizona,11/10/20,-31.98
267,Arizona,11/11/20,-18.7
268,Arizona,11/12/20,-28.73
269,Arizona,11/13/20,-23.15
270,Arizona,11/14/20,-19.23
271,Arizona,11/15/20,-29.02
272,Arizona,11/16/20,-36.27
273,Arizona,11/17/20,-38.49
274,Arizona,11/18/20,-33.18
275,Arizona,11/19/20,-33.51
276,Arizona,11/20/20,-31.04
277,Arizona,11/21/20,-21.02
278,Arizona,11/22/20,-27.86
279,Arizona,11/23/20,-33.26
280,Arizona,11/24/20,-36.93
281,Arizona,11/25/20,-37.11
282,Arizona,11/26/20,-43.88
283,Arizona,11/27/20,-33.95
284,Arizona,11/28/20,-27.89
285,Arizona,11/29/20,-33.71
286,Arizona,11/30/20,-41.81
287,Arizona,12/1/20,-47.47
288,Arizona,12/2/20,-49.21
289,Arizona,12/3/20,-45.77
290,Arizona,12/4/20,-34.59
291,Arizona,12/5/20,-27.31
292,Arizona,12/6/20,-35.8
293,Arizona,12/7/20,-44.55
294,Arizona,12/8/20,-52.53
295,Arizona,12/9/20,-46.43
296,Arizona,12/10/20,-49.98
297,Arizona,12/11/20,-39.69
298,California,2/18/20,-2.0
299,California,2/19/20,2.0
300,California,2/20/20,5.0
301,California,2/21/20,0.0
302,California,2/22/20,-2.0
303,California,2/23/20,7.0
304,California,2/24/20,3.0
305,California,2/25/20,6.0
306,California,2/26/20,4.0
307,California,2/27/20,3.0
308,California,2/28/20,5.0
309,California,2/29/20,9.0
310,California,3/1/20,-3.0
311,California,3/2/20,-6.0
312,California,3/3/20,-4.0
313,California,3/4/20,-3.0
314,California,3/5/20,-10.0
315,California,3/6/20,-8.0
316,California,3/7/20,-5.0
317,California,3/8/20,-5.0
318,California,3/9/20,-18.0
319,California,3/10/20,-27.0
320,California,3/11/20,-23.0
321,California,3/12/20,-38.0
322,California,3/13/20,-42.0
323,California,3/14/20,-47.0
324,California,3/15/20,-55.0
325,California,3/16/20,-70.0
326,California,3/17/20,-96.0
327,California,3/18/20,-99.0
328,California,3/19/20,-99.74
329,California,3/20/20,-99.99
330,California,3/21/20,-99.99
331,California,3/22/20,-99.99
332,California,3/23/20,-100.0
333,California,3/24/20,-99.99
334,California,3/25/20,-100.0
